Date,Mode,Role,God,K,D,A,KDA Average,Result,Enemy,Duration,,,,,,,,,,,
1/10/2025,Conquest,Solo,Bellona,9,5,11,2.9,Win,Amaterasu,0:38:36,,,,,,,,,,,
1/10/2025,Conquest,Solo,Bellona,2,5,4,0.8,Win,Mulan,0:29:12,,,,,,,,,,,
1/10/2025,Conquest,Solo,Amaterasu,0,2,0,0,Win,Hades,0:12:59,,,,,,,,,,,
1/10/2025,Conquest,Carry,Jing Wei,5,8,8,1.125,Lose ,Ullr,0:33:37,,,,,,,,,,,
1/11/2025,Conquest,Jungle,Nemisis,0,1,0,0,Win,Loki,0:13:55,,,,,,,,,,,
1/11/2025,Conquest,Support,Yemoja,0,5,3,0.3,Lose ,Geb,0:26:10,,,,,,,,,,,
1/12/2025,Conquest,Solo,Bellona,5,6,1,0.9166666667,Lose ,Nu Wa,0:26:13,,,,,,,,,,,
1/12/2025,Conquest,Support,Yemoja,3,4,9,1.875,Win,Sobek,0:24:11,,,,,,,,,,,
1/12/2025,Conquest,Carry,Jing Wei,7,6,8,1.833333333,Win,Sol,0:30:36,,,,,,,,,,,
1/12/2025,Conquest,Middle,Morrigan,2,5,1,0.5,Lose ,Anubis,0:22:38,,,,,,,,,,,
1/15/2025,Conquest,Jungle,Pele,8,12,16,1.333333333,Lose ,Loki,0:45:09,,,,,,,,,,,
1/16/2025,Conquest,Support,Hecate,0,3,2,0.3333333333,Win,Baron Samedi,0:15:30,,,,,,,,,,,
1/16/2025,Conquest,Solo,Bellona,8,5,7,2.3,Win,Mulan,0:31:19,,,,,,,,,,,
1/16/2025,Conquest,Solo,Bellona,11,2,10,8,Win,Hercules,0:39:08,,,,,,,,,,,
1/16/2025,Conquest,Solo,Bellona,3,3,3,1.5,Win,Sol,0:24:24,,,,,,,,,,,
1/16/2025,Conquest,Solo,Bellona,8,10,14,1.5,Lose ,Ymir,0:42:40,,,,,,,,,,,
1/16/2025,Conquest,Carry,Neith ,3,0,3,4.5,Win,Neith,0:15:59,,,,,,,,,,,
1/16/2025,Conquest,Solo,Bellona,3,4,0,0.75,Win,Hercules,0:27:32,,,,,,,,,,,
1/16/2025,Conquest,Support,Athena,2,12,16,0.8333333333,Lose ,Sobek,0:36:05,,,,,,,,,,,
1/17/2025,Conquest,Support,Aphrodite,2,4,4,1,Win,Ymir,0:23:46,,,,,,,,,,,
1/19/2025,Conquest,Support,Hecate,4,7,22,2.142857143,Win,Hecate,0:51:37,,,,,,,,,,,
1/19/2025,Conquest,Solo,Bellona,2,1,5,4.5,Win,Chaac,0:25:38,,,,,,,,,,,
1/20/2025,Conquest,Solo,Bellona,4,8,9,1.0625,Lose ,Amaterasu,0:33:35,,,,,,,,,,,
1/20/2025,Conquest,Middle,Morrigan,6,5,3,1.5,Win,Agni,0:22:39,,,,,,,,,,,
1/20/2025,Conquest,Middle,Nu Wa,0,13,12,0.4615384615,Lose ,Thanatos,0:48:16,,,,,,,,,,,
1/20/2025,Conquest,Carry,Neith ,0,5,0,0,Lose ,Medusa,0:25:36,,,,,,,,,,,
1/20/2025,Conquest,Solo,Bellona,6,7,2,1,Lose ,Cabrakan,0:38:59,,,,,,,,,,,
1/21/2025,Conquest,Middle,Neith ,0,5,3,0.3,Lose ,Ra,0:27:59,,,,,,,,,,,
1/21/2025,Conquest,Carry,Sol,7,3,16,5,Win,Anhur,0:32:54,,,,,,,,,,,
1/21/2025,Conquest,Solo,Bellona,2,6,3,0.5833333333,Win,Hercules,0:25:28,,,,,,,,,,,
1/21/2025,Conquest,Carry,Neith ,3,7,6,0.8571428571,Lose ,Zeus,0:38:40,,,,,,,,,,,
7/15/2025,Conquest,Solo,Bellona,0,2,1,0.25,Lose ,Cabrakan,0:13:46,,,,,,,,,,,
7/18/2025,Conquest,Solo,Bellona,7,5,13,2.7,Lose ,Mordred,0:43:53,,,,,,,,,,,
7/29/2025,Conquest,Jungle,Awilix,10,12,14,1.416666667,Win,Odin,0:45:50,,,,,,,,,,,
7/31/2025,Conquest,Jungle,Pele,6,6,10,1.833333333,Win,Kali,0:37:00,,,,,,,,,,,
7/31/2025,Conquest,Support,Aphrodite,0,11,12,0.5454545455,Lose ,Ares,0:34:39,,,,,,,,,,,
8/25/2025,Conquest,Solo,Bellona,1,4,1,0.375,Lose ,Nemsis,0:27:00,,,,,,,,,,,
8/28/2025,Conquest,Solo,Bellona,2,0,0,2,Win,Mordred,0:20:26,,,,,,,,,,,
8/28/2025,Conquest,Middle,Aphrodite,4,9,7,0.8333333333,Lose ,Anubis,0:36:27,,,,,,,,,,,
9/1/2025,Conquest,Support,Jormungandr,1,12,10,0.5,Lose ,Ymir,0:39:50,,,,,,,,,,,
9/1/2025,Conquest,Solo,Mulan,5,9,10,1.111111111,Lose ,Jormungandr,0:41:12,,,,,,,,,,,
9/1/2025,Conquest,Solo,Amaterasu,5,4,4,1.75,Lose ,Anubis,0:34:36,,,,,,,,,,,
9/1/2025,Conquest,Solo,Amaterasu,6,7,16,2,Win,Achilles,0:40:46,,,,,,,,,,,
9/1/2025,Conquest,Solo,Amaterasu,0,1,0,0,Win,Jormungandr,0:12:32,,,,,,,,,,,
9/1/2025,Conquest,Solo,Mulan,3,11,6,0.5454545455,Lose ,Morrigan,0:40:17,,,,,,,,,,,
9/1/2025,Conquest,Support,Cerberus,1,2,1,0.75,Lose ,Ganesha,0:15:28,,,,,,,,,,,
9/1/2025,Conquest,Jungle,Awilix,11,6,11,2.75,Win,Thanatos,0:38:24,,,,,,,,,,,
9/1/2025,Conquest,Solo,Mulan,11,2,15,9.25,Win,Amaterasu,0:40:41,,,,,,,,,,,
9/1/2025,Conquest,Solo,Mulan,6,6,12,2,Win,Hercules,0:40:54,,,,,,,,,,,
9/1/2025,Conquest,Solo,Mulan,6,6,8,1.666666667,Win,Achilles,0:43:40,,,,,,,,,,,
9/1/2025,Conquest,Solo,Mulan,5,13,11,0.8076923077,Lose ,Thor,0:48:36,,,,,,,,,,,
9/3/2025,Conquest,Middle,Bari,0,5,0,0,Lose ,Janus,0:18:38,,,,,,,,,,,
9/5/2025,Conquest,Support,Aphrodite,1,9,21,1.277777778,Win,Khepri,0:43:03,,,,,,,,,,,
9/8/2025,Conquest,Solo,Mulan,3,5,12,1.8,Win,Bellona,0:32:52,,,,,,,,,,,
9/8/2025,Conquest,Support,Aphrodite,1,5,9,1.1,Lose ,Loki,0:40:52,,,,,,,,,,,
9/8/2025,Conquest,Solo,Mulan,2,5,2,0.6,Win,Bellona,0:30:51,,,,,,,,,,,
9/8/2025,Conquest,Solo,Mulan,0,2,0,0,Lose ,Hercules,0:18:17,,,,,,,,,,,
9/9/2025,Conquest,Support,Aphrodite,0,10,40,2,Win,Ra,1:00:55,,,,,,,,,,,
9/25/2025,Conquest,Support,Aphrodite,0,4,3,0.375,Lose ,Geb,0:20:00,,,,,,,,,,,
12/21/2025,Conquest,Jungle,Awilix,16,12,16,2,Win,Susano,0:44:49,,,,,,,,,,,
12/21/2025,Conquest,Solo,Artio,3,8,27,2.0625,Win,Nu Wa,0:44:26,,,,,,,,,,,
12/22/2025,Conquest,Middle,Neith ,11,8,6,1.75,Lose ,Awilix,0:37:34,,,,,,,,,,,
12/28/2025,Conquest,Support,Yemoja,0,0,10,5,Win,Jormungandr,0:20:06,,,,,,,,,,,
12/28/2025,Conquest,Support,Yemoja,2,2,3,1.75,Win,Bacchus,0:20:21,,,,,,,,,,,
12/28/2025,Conquest,Carry,Sol,11,4,11,4.125,Win,Anhur,0:37:16,,,,,,,,,,,
12/28/2025,Conquest,Support,Yemoja,1,10,16,0.9,Lose ,Sobek,0:41:55,,,,,,,,,,,
12/30/2025,Conquest,Solo,Mulan,3,7,3,0.6428571429,Lose ,Neith,0:33:09,,,,,,,,,,,
12/30/2025,Conquest,Middle,Eset,9,8,4,1.375,Lose ,Anubis,0:27:17,,,,,,,,,,,
12/30/2025,Conquest,Support,Yemoja,1,4,20,2.75,Win,Nut,0:40:26,,,,,,,,,,,
12/30/2025,Conquest,Support,Yemoja,0,4,7,0.875,Win,Khepri,0:20:13,,,,,,,,,,,
12/30/2025,Conquest,Support,Yemoja,6,11,17,1.318181818,Lose ,Jormungandr,0:43:36,,,,,,,,,,,
12/30/2025,Conquest,Carry,Sol,12,3,6,5,Win,Izanami,0:29:21,,,,,,,,,,,
12/30/2025,Conquest,Carry,Sol,6,9,10,1.222222222,Lose ,Danzaburou,0:38:50,,,,,,,,,,,
12/31/2025,Conquest,Solo,Mulan,5,6,15,2.083333333,Win,Ullr,0:43:54,,,,,,,,,,,
12/31/2025,Conquest,Support,Yemoja,1,0,2,2,Lose ,Jormungandr,0:18:31,,,,,,,,,,,
12/31/2025,Conquest,Solo,Mulan,8,5,3,1.9,Win,Nemsis,0:23:54,,,,,,,,,,,
12/31/2025,Conquest,Carry,Sol,16,8,11,2.6875,Win,Neith,0:44:11,,,,,,,,,,,
12/31/2025,Conquest,Solo,Mulan,0,2,0,0,Lose ,Mordred,0:12:44,,,,,,,,,,,
12/31/2025,Conquest,Solo,Mulan,3,7,5,0.7857142857,Lose ,Hercules,0:31:42,,,,,,,,,,,
1/1/2026,Conquest,Solo,Mulan,1,8,4,0.375,Lose ,Sun Wukong,0:27:50,,,,,,,,,,,
1/1/2026,Conquest,Carry,Sol,7,7,12,1.857142857,Win,Cupid,0:39:33,,,,,,,,,,,
1/1/2026,Conquest,Middle,Sol,0,9,3,0.1666666667,Lose ,Neith,0:37:08,,,,,,,,,,,
1/2/2026,Conquest,Solo,Mulan,4,10,10,0.9,Lose ,Cerberus,0:44:17,,,,,,,,,,,
1/4/2026,Conquest,Solo,Bellona,8,7,13,2.071428571,Win,Mordred,0:36:57,,,,,,,,,,,
1/4/2026,Conquest,Solo,Bellona,3,5,10,1.6,Win,Artio,0:33:40,,,,,,,,,,,
1/7/2026,Conquest,Solo,Bellona,2,3,1,0.8333333333,Win,Thor,0:18:28,,,,,,,,,,,
1/7/2026,Conquest,Solo,Bellona,2,5,2,0.6,Lose ,Jormungandr,0:18:51,,,,,,,,,,,
1/7/2026,Conquest,Carry,Sol,4,17,7,0.4411764706,Lose ,Danzaburou,0:54:14,,,,,,,,,,,
1/10/2025,Conquest,Solo,Bellona,9,5,11,2.9,Win,Amaterasu,0:38:36,,,,,,,,,,,0:38:36
1/10/2025,Conquest,Solo,Bellona,2,5,4,0.8,Win,Hua Mulan,0:29:12,,,,,,,,,,,0:29:12
1/10/2025,Conquest,Solo,Amaterasu,0,2,0,0,Win,Hades,0:12:59,,,,,,,,,,,0:12:59
1/10/2025,Conquest,Carry,Jin Wei,5,8,8,1.125,Lose ,Ullr,0:33:37,,,,,,,,,,,0:33:37
1/11/2025,Conquest,Jungle,Nemisis,0,1,0,0,Win,Loki,0:13:55,,,,,,,,,,,0:13:55
1/11/2025,Conquest,Support,Yemoja,0,5,3,0.3,Lose ,Geb,0:26:10,,,,,,,,,,,0:26:10
1/21/2026,Conquest,Carry,Jing Wei,6,9,5,0.9444444444,Lose ,Discordia,0:38:03,,,,,,,,,,,
1/22/2026,Conquest,Solo,Bellona,12,5,13,3.7,Win,Danzaburou,0:36:27,,,,,,,,,,,
1/25/2026,Conquest,Solo,Bellona,0,1,1,0.5,Win,Sun Wukong,0:18:07,,,,,,,,,,,
1/25/2026,Conquest,Jungle,Bellona,4,7,12,1.428571429,Lose ,Tsukuyomi,0:35:56,,,,,,,,,,,
1/26/2026,Conquest,Solo,Bellona,17,5,10,4.4,Win,Osiris,0:39:48,,,,,,,,,,,
1/26/2026,Conquest,Middle,Eset,5,7,7,1.214285714,Lose ,Nu Wa,0:38:18,,,,,,,,,,,
1/26/2026,Conquest,Solo,Bellona,10,10,11,1.55,Win,Sun Wukong,0:48:14,,,,,,,,,,,
