Date,Mode,Role,God,Enemy,K,D,A,Duration,Result
1/10/2025,Conquest,Solo,Bellona,Amaterasu,9,5,11,0:38:36,Win
1/10/2025,Conquest,Solo,Bellona,Mulan,2,5,4,0:29:12,Win
1/10/2025,Conquest,Solo,Amaterasu,Hades,0,2,0,0:12:59,Win
1/10/2025,Conquest,Carry,Jing Wei,Ullr,5,8,8,0:33:37,Lose 
1/11/2025,Conquest,Jungle,Nemisis,Loki,0,1,0,0:13:55,Win
1/11/2025,Conquest,Support,Yemoja,Geb,0,5,3,0:26:10,Lose 
1/12/2025,Conquest,Solo,Bellona,Nu Wa,5,6,1,0:26:13,Lose 
1/12/2025,Conquest,Support,Yemoja,Sobek,3,4,9,0:24:11,Win
1/12/2025,Conquest,Carry,Jing Wei,Sol,7,6,8,0:30:36,Win
1/12/2025,Conquest,Middle,Morrigan,Anubis,2,5,1,0:22:38,Lose 
1/15/2025,Conquest,Jungle,Pele,Loki,8,12,16,0:45:09,Lose 
1/16/2025,Conquest,Support,Hecate,Baron Samedi,0,3,2,0:15:30,Win
1/16/2025,Conquest,Solo,Bellona,Mulan,8,5,7,0:31:19,Win
1/16/2025,Conquest,Solo,Bellona,Hercules,11,2,10,0:39:08,Win
1/16/2025,Conquest,Solo,Bellona,Sol,3,3,3,0:24:24,Win
1/16/2025,Conquest,Solo,Bellona,Ymir,8,10,14,0:42:40,Lose 
1/16/2025,Conquest,Carry,Neith ,Neith,3,0,3,0:15:59,Win
1/16/2025,Conquest,Solo,Bellona,Hercules,3,4,0,0:27:32,Win
1/16/2025,Conquest,Support,Athena,Sobek,2,12,16,0:36:05,Lose 
1/17/2025,Conquest,Support,Aphrodite,Ymir,2,4,4,0:23:46,Win
1/19/2025,Conquest,Support,Hecate,Hecate,4,7,22,0:51:37,Win
1/19/2025,Conquest,Solo,Bellona,Chaac,2,1,5,0:25:38,Win
1/20/2025,Conquest,Solo,Bellona,Amaterasu,4,8,9,0:33:35,Lose 
1/20/2025,Conquest,Middle,Morrigan,Agni,6,5,3,0:22:39,Win
1/20/2025,Conquest,Middle,Nu Wa,Thanatos,0,13,12,0:48:16,Lose 
1/20/2025,Conquest,Carry,Neith ,Medusa,0,5,0,0:25:36,Lose 
1/20/2025,Conquest,Solo,Bellona,Cabrakan,6,7,2,0:38:59,Lose 
1/21/2025,Conquest,Middle,Neith ,Ra,0,5,3,0:27:59,Lose 
1/21/2025,Conquest,Carry,Sol,Anhur,7,3,16,0:32:54,Win
1/21/2025,Conquest,Solo,Bellona,Hercules,2,6,3,0:25:28,Win
1/21/2025,Conquest,Carry,Neith ,Zeus,3,7,6,0:38:40,Lose 
7/15/2025,Conquest,Solo,Bellona,Cabrakan,0,2,1,0:13:46,Lose 
7/18/2025,Conquest,Solo,Bellona,Mordred,7,5,13,0:43:53,Lose 
7/29/2025,Conquest,Jungle,Awilix,Odin,10,12,14,0:45:50,Win
7/31/2025,Conquest,Jungle,Pele,Kali,6,6,10,0:37:00,Win
7/31/2025,Conquest,Support,Aphrodite,Ares,0,11,12,0:34:39,Lose 
8/25/2025,Conquest,Solo,Bellona,Nemsis,1,4,1,0:27:00,Lose 
8/28/2025,Conquest,Solo,Bellona,Mordred,2,0,0,0:20:26,Win
8/28/2025,Conquest,Middle,Aphrodite,Anubis,4,9,7,0:36:27,Lose 
9/1/2025,Conquest,Support,Jormungandr,Ymir,1,12,10,0:39:50,Lose 
9/1/2025,Conquest,Solo,Mulan,Jormungandr,5,9,10,0:41:12,Lose 
9/1/2025,Conquest,Solo,Amaterasu,Anubis,5,4,4,0:34:36,Lose 
9/1/2025,Conquest,Solo,Amaterasu,Achilles,6,7,16,0:40:46,Win
9/1/2025,Conquest,Solo,Amaterasu,Jormungandr,0,1,0,0:12:32,Win
9/1/2025,Conquest,Solo,Mulan,Morrigan,3,11,6,0:40:17,Lose 
