ID,Gods
1,Achilles
2,Agni
3,Aladdin
4,Amaterasu
5,Anhur
6,Anubis
7,Aphrodite
8,Apollo
9,Ares
10,Artemis
11,Artio
12,Athena
13,Awilix
14,Bacchus
15,Baron Samedi
16,Bellona
17,Cabrakan
18,Cerberus
19,Cernunnos
20,Chaac
21,Charon
22,Chiron
23,Cupid
24,Da Ji
25,Danzaburo
26,Discordia
27,Eset
28,Fenrir
29,Ganesha
30,Geb
31,Guan Yu
32,Hades
33,Hecate
34,Hercules
35,Hou Yi
36,Mulan
37,Hun Batz
38,Izanami
39,Janus
40,Jing Wei
41,Jormungandr
42,Kali
43,Khepri
44,Kukulkan
45,Loki
46,Medusa
47,Mercury
48,Merlin
49,Mordred
50,Morgan Le Fay
51,Ne Zha
52,Neith
53,Nemesis
54,Nu Wa
55,Nut
56,Odin
57,Osiris
58,Pele
59,Poseidon
60,Princess Bari
61,Ra
62,Rama
63,Scylla
64,Sobek
65,Sol
66,Sun Wukong
67,Susano
68,Sylvanus
69,Thanatos
70,Morrigan
71,Thor
72,Tsukuyomi
73,Ullr
74,Vulcan
75,Xbalanque
76,Yemoja
77,Ymir
78,Zeus
